movieId,title,genres,clean_title,year,year_display,genres_list,genres_clean,user_tags,tmdbId,imdbId,avg_rating,vote_count,corpus
40,"Cry, the Beloved Country (1995)",Drama,"Cry, the Beloved Country",1995.0,(1995),['Drama'],drama,in netflix queue south africa,34615,112749,4.25,2,"cry, the beloved country drama in netflix queue south africa 1995"
41,Richard III (1995),Drama|War,Richard III,1995.0,(1995),"['Drama', 'War']",drama war,shakespeare,31174,114279,3.7,15,richard iii drama war shakespeare 1995
42,Dead Presidents (1995),Action|Crime|Drama,Dead Presidents,1995.0,(1995),"['Action', 'Crime', 'Drama']",action crime drama,,11443,112819,3.0,7,dead presidents action crime drama  1995
43,Restoration (1995),Drama,Restoration,1995.0,(1995),['Drama'],drama,england,35196,114272,3.19,8,restoration drama england 1995
44,Mortal Kombat (1995),Action|Adventure|Fantasy,Mortal Kombat,1995.0,(1995),"['Action', 'Adventure', 'Fantasy']",action adventure fantasy,,9312,113855,2.54,46,mortal kombat action adventure fantasy  1995
45,To Die For (1995),Comedy|Drama|Thriller,To Die For,1995.0,(1995),"['Comedy', 'Drama', 'Thriller']",comedy drama thriller,journalism,577,114681,3.31,32,to die for comedy drama thriller journalism 1995
46,How to Make an American Quilt (1995),Drama|Romance,How to Make an American Quilt,1995.0,(1995),"['Drama', 'Romance']",drama romance,wedding,11861,113347,3.07,15,how to make an american quilt drama romance wedding 1995
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,Seven (a.k.a. Se7en),1995.0,(1995),"['Mystery', 'Thriller']",mystery thriller,mystery twist ending serial killer,807,114369,3.98,203,seven (a.k.a. se7en) mystery thriller mystery twist ending serial killer 1995
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,Pocahontas,1995.0,(1995),"['Animation', 'Children', 'Drama', 'Musical', 'Romance']",animation children drama musical romance,,10530,114148,3.15,68,pocahontas animation children drama musical romance  1995
49,When Night Is Falling (1995),Drama|Romance,When Night Is Falling,1995.0,(1995),"['Drama', 'Romance']",drama romance,,8391,114916,3.0,1,when night is falling drama romance  1995
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,"Usual Suspects, The",1995.0,(1995),"['Crime', 'Mystery', 'Thriller']",crime mystery thriller,mindfuck suspense thriller tricky twist ending heist,629,114814,4.24,204,"usual suspects, the crime mystery thriller mindfuck suspense thriller tricky twist ending heist 1995"
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,Mighty Aphrodite,1995.0,(1995),"['Comedy', 'Drama', 'Romance']",comedy drama romance,adoption prostitution,11448,113819,3.46,28,mighty aphrodite comedy drama romance adoption prostitution 1995
53,Lamerica (1994),Adventure|Drama,Lamerica,1994.0,(1994),"['Adventure', 'Drama']",adventure drama,,49133,110299,5.0,2,lamerica adventure drama  1994
54,"Big Green, The (1995)",Children|Comedy,"Big Green, The",1995.0,(1995),"['Children', 'Comedy']",children comedy,,26441,112499,2.33,3,"big green, the children comedy  1995"
55,Georgia (1995),Drama,Georgia,1995.0,(1995),['Drama'],drama,,97406,113158,4.0,1,georgia drama  1995
57,Home for the Holidays (1995),Drama,Home for the Holidays,1995.0,(1995),['Drama'],drama,,9089,113321,3.06,8,home for the holidays drama  1995
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,"Postman, The (Postino, Il)",1994.0,(1994),"['Comedy', 'Drama', 'Romance']",comedy drama romance,writing,11010,110877,4.03,37,"postman, the (postino, il) comedy drama romance writing 1994"
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,"Indian in the Cupboard, The",1995.0,(1995),"['Adventure', 'Children', 'Fantasy']",adventure children fantasy,,11359,113419,3.24,34,"indian in the cupboard, the adventure children fantasy  1995"
61,Eye for an Eye (1996),Drama|Thriller,Eye for an Eye,1996.0,(1996),"['Drama', 'Thriller']",drama thriller,,17182,116260,3.75,6,eye for an eye drama thriller  1996
62,Mr. Holland's Opus (1995),Drama,Mr. Holland's Opus,1995.0,(1995),['Drama'],drama,music,2054,113862,3.71,80,mr. holland's opus drama music 1995
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996.0,(1996),"['Comedy', 'Crime']",comedy crime,,10607,116126,2.71,7,don't be a menace to south central while drinking your juice in the hood comedy crime  1996
64,Two if by Sea (1996),Comedy|Romance,Two if by Sea,1996.0,(1996),"['Comedy', 'Romance']",comedy romance,,19760,118002,2.2,5,two if by sea comedy romance  1996
65,Bio-Dome (1996),Comedy,Bio-Dome,1996.0,(1996),['Comedy'],comedy,,9536,115683,2.53,31,bio-dome comedy  1996
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,Lawnmower Man 2: Beyond Cyberspace,1996.0,(1996),"['Action', 'Sci-Fi', 'Thriller']",action scifi thriller,,11525,116839,2.5,9,lawnmower man 2: beyond cyberspace action scifi thriller  1996
68,French Twist (Gazon maudit) (1995),Comedy|Romance,French Twist (Gazon maudit),1995.0,(1995),"['Comedy', 'Romance']",comedy romance,,4482,113149,3.4,5,french twist (gazon maudit) comedy romance  1995
69,Friday (1995),Comedy,Friday,1995.0,(1995),['Comedy'],comedy,,10634,113118,3.78,20,friday comedy  1995
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,From Dusk Till Dawn,1996.0,(1996),"['Action', 'Comedy', 'Horror', 'Thriller']",action comedy horror thriller,,755,116367,3.51,55,from dusk till dawn action comedy horror thriller  1996
71,Fair Game (1995),Action,Fair Game,1995.0,(1995),['Action'],action,,11859,113010,1.7,5,fair game action  1995
72,Kicking and Screaming (1995),Comedy|Drama,Kicking and Screaming,1995.0,(1995),"['Comedy', 'Drama']",comedy drama,,28387,113537,3.21,7,kicking and screaming comedy drama  1995
73,"Misérables, Les (1995)",Drama|War,"Misérables, Les",1995.0,(1995),"['Drama', 'War']",drama war,,48750,113828,3.46,13,"misérables, les drama war  1995"
74,Bed of Roses (1996),Drama|Romance,Bed of Roses,1996.0,(1996),"['Drama', 'Romance']",drama romance,,20927,115644,4.0,8,bed of roses drama romance  1996
75,Big Bully (1996),Comedy|Drama,Big Bully,1996.0,(1996),"['Comedy', 'Drama']",comedy drama,,36929,115676,2.2,5,big bully comedy drama  1996
76,Screamers (1995),Action|Sci-Fi|Thriller,Screamers,1995.0,(1995),"['Action', 'Sci-Fi', 'Thriller']",action scifi thriller,,9102,114367,3.4,15,screamers action scifi thriller  1995
77,Nico Icon (1995),Documentary,Nico Icon,1995.0,(1995),['Documentary'],documentary,,124626,113973,4.0,1,nico icon documentary  1995
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,"Crossing Guard, The",1995.0,(1995),"['Action', 'Crime', 'Drama', 'Thriller']",action crime drama thriller,,27526,112744,3.33,3,"crossing guard, the action crime drama thriller  1995"
79,"Juror, The (1996)",Drama|Thriller,"Juror, The",1996.0,(1996),"['Drama', 'Thriller']",drama thriller,,9623,116731,2.76,17,"juror, the drama thriller  1996"
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,"White Balloon, The (Badkonake sefid)",1995.0,(1995),"['Children', 'Drama']",children drama,,46785,112445,4.0,2,"white balloon, the (badkonake sefid) children drama  1995"
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,Things to Do in Denver When You're Dead,1995.0,(1995),"['Crime', 'Drama', 'Romance']",crime drama romance,,400,114660,3.11,14,things to do in denver when you're dead crime drama romance  1995
82,Antonia's Line (Antonia) (1995),Comedy|Drama,Antonia's Line (Antonia),1995.0,(1995),"['Comedy', 'Drama']",comedy drama,,880,112379,3.88,8,antonia's line (antonia) comedy drama  1995
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,Once Upon a Time... When We Were Colored,1995.0,(1995),"['Drama', 'Romance']",drama romance,,146599,114039,3.0,1,once upon a time... when we were colored drama romance  1995
85,Angels and Insects (1995),Drama|Romance,Angels and Insects,1995.0,(1995),"['Drama', 'Romance']",drama romance,,8447,112365,3.86,7,angels and insects drama romance  1995
86,White Squall (1996),Action|Adventure|Drama,White Squall,1996.0,(1996),"['Action', 'Adventure', 'Drama']",action adventure drama,,10534,118158,3.97,15,white squall action adventure drama  1996
87,Dunston Checks In (1996),Children|Comedy,Dunston Checks In,1996.0,(1996),"['Children', 'Comedy']",children comedy,,17414,116151,2.5,7,dunston checks in children comedy  1996
88,Black Sheep (1996),Comedy,Black Sheep,1996.0,(1996),['Comedy'],comedy,,13997,115697,3.16,16,black sheep comedy  1996
89,Nick of Time (1995),Action|Thriller,Nick of Time,1995.0,(1995),"['Action', 'Thriller']",action thriller,,2086,113972,3.25,10,nick of time action thriller  1995
92,Mary Reilly (1996),Drama|Horror|Thriller,Mary Reilly,1996.0,(1996),"['Drama', 'Horror', 'Thriller']",drama horror thriller,jekyll and hyde,9095,117002,2.62,8,mary reilly drama horror thriller jekyll and hyde 1996
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,Vampire in Brooklyn,1995.0,(1995),"['Comedy', 'Horror', 'Romance']",comedy horror romance,,12158,114825,2.83,9,vampire in brooklyn comedy horror romance  1995
94,Beautiful Girls (1996),Comedy|Drama|Romance,Beautiful Girls,1996.0,(1996),"['Comedy', 'Drama', 'Romance']",comedy drama romance,,9283,115639,3.95,10,beautiful girls comedy drama romance  1996
95,Broken Arrow (1996),Action|Adventure|Thriller,Broken Arrow,1996.0,(1996),"['Action', 'Adventure', 'Thriller']",action adventure thriller,,9208,115759,3.02,84,broken arrow action adventure thriller  1996
96,In the Bleak Midwinter (1995),Comedy|Drama,In the Bleak Midwinter,1995.0,(1995),"['Comedy', 'Drama']",comedy drama,theater,40154,113403,3.5,1,in the bleak midwinter comedy drama theater 1995
97,"Hate (Haine, La) (1995)",Crime|Drama,"Hate (Haine, La)",1995.0,(1995),"['Crime', 'Drama']",crime drama,,406,113247,3.9,10,"hate (haine, la) crime drama  1995"
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,Heidi Fleiss: Hollywood Madam,1995.0,(1995),['Documentary'],documentary,,63076,113283,5.0,2,heidi fleiss: hollywood madam documentary  1995
100,City Hall (1996),Drama|Thriller,City Hall,1996.0,(1996),"['Drama', 'Thriller']",drama thriller,,11062,115907,2.79,14,city hall drama thriller  1996
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,Bottle Rocket,1996.0,(1996),"['Adventure', 'Comedy', 'Crime', 'Romance']",adventure comedy crime romance,crime off-beat comedy quirky,13685,115734,3.78,23,bottle rocket adventure comedy crime romance crime off-beat comedy quirky 1996
102,Mr. Wrong (1996),Comedy,Mr. Wrong,1996.0,(1996),['Comedy'],comedy,,47475,117102,2.4,5,mr. wrong comedy  1996
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,Unforgettable,1996.0,(1996),"['Mystery', 'Sci-Fi', 'Thriller']",mystery scifi thriller,,2045,118040,3.0,3,unforgettable mystery scifi thriller  1996
104,Happy Gilmore (1996),Comedy,Happy Gilmore,1996.0,(1996),['Comedy'],comedy,test tag golf adam sandler,9614,116483,3.44,99,happy gilmore comedy test tag golf adam sandler 1996
105,"Bridges of Madison County, The (1995)",Drama|Romance,"Bridges of Madison County, The",1995.0,(1995),"['Drama', 'Romance']",drama romance,,688,112579,3.28,23,"bridges of madison county, the drama romance  1995"
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,Nobody Loves Me (Keiner liebt mich),1994.0,(1994),"['Comedy', 'Drama']",comedy drama,,11907,110251,4.0,1,nobody loves me (keiner liebt mich) comedy drama  1994
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,Muppet Treasure Island,1996.0,(1996),"['Adventure', 'Children', 'Comedy', 'Musical']",adventure children comedy musical,muppets,10874,117110,3.33,26,muppet treasure island adventure children comedy musical muppets 1996
108,Catwalk (1996),Documentary,Catwalk,1996.0,(1996),['Documentary'],documentary,,89333,112646,4.0,1,catwalk documentary  1996
110,Braveheart (1995),Action|Drama|War,Braveheart,1995.0,(1995),"['Action', 'Drama', 'War']",action drama war,beautiful scenery epic historical inspirational medieval mel gibson oscar (best cinematography) revenge sword fight scotland,197,112573,4.03,237,braveheart action drama war beautiful scenery epic historical inspirational medieval mel gibson oscar (best cinematography) revenge sword fight scotland 1995
111,Taxi Driver (1976),Crime|Drama|Thriller,Taxi Driver,1976.0,(1976),"['Crime', 'Drama', 'Thriller']",crime drama thriller,assassination,103,75314,4.11,104,taxi driver crime drama thriller assassination 1976
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,Rumble in the Bronx (Hont faan kui),1995.0,(1995),"['Action', 'Adventure', 'Comedy', 'Crime']",action adventure comedy crime,,33542,113326,3.54,46,rumble in the bronx (hont faan kui) action adventure comedy crime  1995
113,Before and After (1996),Drama|Mystery,Before and After,1996.0,(1996),"['Drama', 'Mystery']",drama mystery,,43566,115645,3.33,3,before and after drama mystery  1996
116,Anne Frank Remembered (1995),Documentary,Anne Frank Remembered,1995.0,(1995),['Documentary'],documentary,holocaust,51352,112373,3.9,5,anne frank remembered documentary holocaust 1995
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,"Young Poisoner's Handbook, The",1995.0,(1995),"['Crime', 'Drama']",crime drama,,16934,115033,3.0,1,"young poisoner's handbook, the crime drama  1995"
118,If Lucy Fell (1996),Comedy|Romance,If Lucy Fell,1996.0,(1996),"['Comedy', 'Romance']",comedy romance,,10324,116606,2.5,2,if lucy fell comedy romance  1996
119,"Steal Big, Steal Little (1995)",Comedy,"Steal Big, Steal Little",1995.0,(1995),['Comedy'],comedy,,78406,114536,3.0,2,"steal big, steal little comedy  1995"
121,"Boys of St. Vincent, The (1992)",Drama,"Boys of St. Vincent, The",1992.0,(1992),['Drama'],drama,,32119,106473,4.0,2,"boys of st. vincent, the drama  1992"
122,Boomerang (1992),Comedy|Romance,Boomerang,1992.0,(1992),"['Comedy', 'Romance']",comedy romance,dating,11066,103859,2.66,16,boomerang comedy romance dating 1992
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,Chungking Express (Chung Hing sam lam),1994.0,(1994),"['Drama', 'Mystery', 'Romance']",drama mystery romance,,11104,109424,4.38,4,chungking express (chung hing sam lam) drama mystery romance  1994
125,Flirting With Disaster (1996),Comedy,Flirting With Disaster,1996.0,(1996),['Comedy'],comedy,,2074,116324,3.58,12,flirting with disaster comedy  1996
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,"NeverEnding Story III, The",1994.0,(1994),"['Adventure', 'Children', 'Fantasy']",adventure children fantasy,,27793,110647,2.0,7,"neverending story iii, the adventure children fantasy  1994"
128,Jupiter's Wife (1994),Documentary,Jupiter's Wife,1994.0,(1994),['Documentary'],documentary,,290157,110217,3.0,1,jupiter's wife documentary  1994
129,Pie in the Sky (1996),Comedy|Romance,Pie in the Sky,1996.0,(1996),"['Comedy', 'Romance']",comedy romance,,110972,114131,2.0,1,pie in the sky comedy romance  1996
132,Jade (1995),Thriller,Jade,1995.0,(1995),['Thriller'],thriller,,11863,113451,2.83,6,jade thriller  1995
135,Down Periscope (1996),Comedy,Down Periscope,1996.0,(1996),['Comedy'],comedy,,9101,116130,2.95,31,down periscope comedy  1996
137,Man of the Year (1995),Documentary,Man of the Year,1995.0,(1995),['Documentary'],documentary,,5757,113756,3.0,1,man of the year documentary  1995
140,Up Close and Personal (1996),Drama|Romance,Up Close and Personal,1996.0,(1996),"['Drama', 'Romance']",drama romance,journalism,9302,118055,3.5,16,up close and personal drama romance journalism 1996
141,"Birdcage, The (1996)",Comedy,"Birdcage, The",1996.0,(1996),['Comedy'],comedy,,11000,115685,3.49,86,"birdcage, the comedy  1996"
144,"Brothers McMullen, The (1995)",Comedy,"Brothers McMullen, The",1995.0,(1995),['Comedy'],comedy,,16388,112585,3.33,12,"brothers mcmullen, the comedy  1995"
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,Bad Boys,1995.0,(1995),"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",action comedy crime drama thriller,,9737,112442,3.25,51,bad boys action comedy crime drama thriller  1995
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,"Amazing Panda Adventure, The",1995.0,(1995),"['Adventure', 'Children']",adventure children,,30765,112342,3.33,3,"amazing panda adventure, the adventure children  1995"
147,"Basketball Diaries, The (1995)",Drama,"Basketball Diaries, The",1995.0,(1995),['Drama'],drama,addiction heroin leonardo dicaprio mark wahlberg,10474,112461,3.47,15,"basketball diaries, the drama addiction heroin leonardo dicaprio mark wahlberg 1995"
148,"Awfully Big Adventure, An (1995)",Drama,"Awfully Big Adventure, An",1995.0,(1995),['Drama'],drama,,22279,112427,5.0,1,"awfully big adventure, an drama  1995"
149,Amateur (1994),Crime|Drama|Thriller,Amateur,1994.0,(1994),"['Crime', 'Drama', 'Thriller']",crime drama thriller,,30157,109093,2.0,1,amateur crime drama thriller  1994
150,Apollo 13 (1995),Adventure|Drama|IMAX,Apollo 13,1995.0,(1995),"['Adventure', 'Drama', 'IMAX']",adventure drama imax,moon nasa space,568,112384,3.85,201,apollo 13 adventure drama imax moon nasa space 1995
151,Rob Roy (1995),Action|Drama|Romance|War,Rob Roy,1995.0,(1995),"['Action', 'Drama', 'Romance', 'War']",action drama romance war,,11780,114287,3.55,44,rob roy action drama romance war  1995
152,"Addiction, The (1995)",Drama|Horror,"Addiction, The",1995.0,(1995),"['Drama', 'Horror']",drama horror,,34996,112288,1.5,2,"addiction, the drama horror  1995"
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,Batman Forever,1995.0,(1995),"['Action', 'Adventure', 'Comedy', 'Crime']",action adventure comedy crime,superhero superhero,414,112462,2.92,137,batman forever action adventure comedy crime superhero superhero 1995
154,Beauty of the Day (Belle de jour) (1967),Drama,Beauty of the Day (Belle de jour),1967.0,(1967),['Drama'],drama,,649,61395,3.88,12,beauty of the day (belle de jour) drama  1967
155,Beyond Rangoon (1995),Adventure|Drama|War,Beyond Rangoon,1995.0,(1995),"['Adventure', 'Drama', 'War']",adventure drama war,,1873,112495,2.42,6,beyond rangoon adventure drama war  1995
156,Blue in the Face (1995),Comedy|Drama,Blue in the Face,1995.0,(1995),"['Comedy', 'Drama']",comedy drama,,5894,112541,3.33,3,blue in the face comedy drama  1995
157,Canadian Bacon (1995),Comedy|War,Canadian Bacon,1995.0,(1995),"['Comedy', 'War']",comedy war,,1775,109370,2.86,11,canadian bacon comedy war  1995
158,Casper (1995),Adventure|Children,Casper,1995.0,(1995),"['Adventure', 'Children']",adventure children,,8839,112642,2.81,62,casper adventure children  1995
159,Clockers (1995),Crime|Drama|Mystery,Clockers,1995.0,(1995),"['Crime', 'Drama', 'Mystery']",crime drama mystery,,20649,112688,2.89,14,clockers crime drama mystery  1995
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,Congo,1995.0,(1995),"['Action', 'Adventure', 'Mystery', 'Sci-Fi']",action adventure mystery scifi,michael crichton,10329,112715,2.88,57,congo action adventure mystery scifi michael crichton 1995
161,Crimson Tide (1995),Drama|Thriller|War,Crimson Tide,1995.0,(1995),"['Drama', 'Thriller', 'War']",drama thriller war,submarine,8963,112740,3.64,103,crimson tide drama thriller war submarine 1995
162,Crumb (1994),Documentary,Crumb,1994.0,(1994),['Documentary'],documentary,in netflix queue,26564,109508,4.21,17,crumb documentary in netflix queue 1994
163,Desperado (1995),Action|Romance|Western,Desperado,1995.0,(1995),"['Action', 'Romance', 'Western']",action romance western,,8068,112851,3.56,66,desperado action romance western  1995
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,Devil in a Blue Dress,1995.0,(1995),"['Crime', 'Film-Noir', 'Mystery', 'Thriller']",crime filmnoir mystery thriller,,8512,112857,3.32,14,devil in a blue dress crime filmnoir mystery thriller  1995
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,Die Hard: With a Vengeance,1995.0,(1995),"['Action', 'Crime', 'Thriller']",action crime thriller,,1572,112864,3.56,144,die hard: with a vengeance action crime thriller  1995
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,"Doom Generation, The",1995.0,(1995),"['Comedy', 'Crime', 'Drama']",comedy crime drama,,13552,112887,2.83,3,"doom generation, the comedy crime drama  1995"
